ID CLIENTE,EDAD,GENERACION,GENERO,ESTADO CIVIL,DEPARTAMENTO VIVIENDA,MUNICIPIO VIVIENDA,INGRESOS MENSUALES,PROFESION,DEPARTAMENTO LABORAL,MUNICIPIO LABORAL,TIENE BANCA ELECTRONICA,PRIMERA APERTURA,ULTIMA TRANSACCION CLIENTE
3503120,26,Generacion Z,Masculino,Soltero,Guatemala,Guatemala,0,Educacion Basica Completa,Guatemala,Guatemala,No,20180104,20210715
4392382,21,Generacion Z,Masculino,Soltero,Guatemala,Villa Nueva,4227,Tecnico En Electronica,Guatemala,Guatemala,Si,20220609,20221230
4407483,22,Generacion Z,Femenino,Soltero,Guatemala,Mixco,3065,Estudiante,Guatemala,Mixco,Si,20220706,20221229
4373885,27,Millenials,Masculino,Soltero,Suchitepequez,San Antonio Suchitepequez,3807,Bachiller En Ciencias Y Letras,Suchitepequez,Mazatenango,Si,20220510,20221001
4192341,46,Generacion X,Masculino,Casado,Chiquimula,Chiquimula,10000,Tecnico En Admo. De Personal,Chiquimula,Chiquimula,Si,20010509,20221226
1142950,28,Millenials,Masculino,Casado,Guatemala,Villa Nueva,6531,Perito  Contador,Guatemala,Guatemala,Si,20150223,20221229
1515918,42,Generacion X,Masculino,Soltero,Guatemala,Villa Nueva,4818,Estudiante,Guatemala,Villa Nueva,No,20160802,20221230
3992876,30,Millenials,Femenino,Soltero,Huehuetenango,Huehuetenango,3156,Estudiante,Guatemala,Guatemala,Si,20190906,20221228
1279965,34,Millenials,Masculino,Soltero,Retalhuleu,Retalhuleu,10481,Vendedor,Error,Error,Si,20130927,20221230
1473146,30,Millenials,Masculino,Soltero,El Progreso,Guastatoya,7135,Educacion Basica Completa,Error,Error,No,20160630,20221002
1575837,26,Generacion Z,Masculino,Soltero,Quetzaltenango,El Palmar,6607,Bachiller  Industrial,Quetzaltenango,Quetzaltenango,No,20170103,20221229
4183075,21,Generacion Z,Femenino,Soltero,Guatemala,Guatemala,10000,Bachiller Electricista,Guatemala,Guatemala,Si,20210322,20221230
1363725,26,Generacion Z,Femenino,Soltero,El Peten,San Benito,3000,Maestro De Educacion Pre-primaria,Error,Error,Si,20070511,20221112
1246288,39,Millenials,Femenino,Soltero,Guatemala,Mixco,0,Educacion Basica Completa,Guatemala,Guatemala,Si,20150421,20221230
4470384,54,Generacion X,Femenino,Casado,Huehuetenango,Santa Cruz Barillas,10000,Medico,Huehuetenango,Huehuetenango,Si,20211120,20221222
1863792,33,Millenials,Femenino,Soltero,Guatemala,Guatemala,50000,Licenciatura En Derecho,Guatemala,Guatemala,Si,20140318,20221229
4469487,38,Millenials,Masculino,Soltero,El Peten,San Benito,10000,Ingeneria Agronoma,Error,Error,Si,20221026,20221206
3220675,31,Millenials,Masculino,Casado,Suchitepequez,Zunilito,4340,Agricultor,Escuintla,Tiquisate,No,20130814,20221224
4338181,21,Generacion Z,Masculino,Soltero,Guatemala,Guatemala,3937,Perito  Contador,Guatemala,Guatemala,Si,20220314,20221230
4475917,21,Generacion Z,Masculino,Soltero,Huehuetenango,Huehuetenango,3044,Bachiller En Ciencias Y Letras,Escuintla,Palin,Si,20221107,20221230
4240610,20,Generacion Z,Masculino,Soltero,Escuintla,La Gomera,3332,Sexto Primaria,Guatemala,Guatemala,No,20210802,20221230
4307299,26,Generacion Z,Femenino,Soltero,Escuintla,San Vicente Pacaya,3601,Perito  En Administracion De Empresas,Guatemala,Guatemala,No,20220111,20221225
1596539,36,Millenials,Masculino,Casado,Guatemala,Guatemala,3000,Bachiller En Computacion,Error,Error,Si,20130819,20221218
879242,32,Millenials,Femenino,Soltero,Jutiapa,Jutiapa,255,Servicio Domestico,Jutiapa,Jutiapa,Si,20110610,20220828
4000635,25,Generacion Z,Femenino,Casado,Guatemala,Guatemala,3000,Perito  Contador,Guatemala,Guatemala,Si,20191005,20221230
